你想要學習泰文的目的是...?,在學習泰文時，你常遇到的困難為...?,零基礎30天就能開口說的泰文課程，對您的興趣程度為？,您認為30天、一天1小時的課程，是否能有效幫助你開口說泰文？,以下為課程中設計的泰文生活常見情境，請選擇你較有興趣的內容,在每個情境下，我會安排泰文的基礎詞彙、文法與文章閱讀，讓你不只會用、也能逐步建立扎實基礎。請問你對以下哪些學習單元較有興趣？,對於課程不止看影片，還有這些互動練習方式，您覺得重要嗎？,請問您的性別？,請問您的年齡區間？,請問下列敘述，何者較符合你的身份/職業？
旅遊,單字記不住,中,否,酒店住宿,文法解析,重要,女,36-45,退休
文化交流,缺乏語言環境,低,是,餐廳點餐,文法解析,非常重要,男,26-35,退休
文化交流,發音困難,中,是,餐廳點餐,閱讀與寫作,非常重要,男,46-55,自由職業
興趣,單字記不住,中,否,餐廳點餐,閱讀與寫作,普通重要,男,56+,自由職業
旅遊,單字記不住,高,否,餐廳點餐,基礎會話,普通重要,男,46-55,學生
旅遊,文法複雜,中,是,餐廳點餐,文法解析,非常重要,男,56+,退休
旅遊,發音困難,高,是,餐廳點餐,單字練習,重要,女,56+,學生
文化交流,缺乏語言環境,中,是,酒店住宿,基礎會話,非常重要,男,36-45,上班族
工作,發音困難,低,否,餐廳點餐,閱讀與寫作,重要,男,56+,自由職業
興趣,缺乏練習機會,中,是,酒店住宿,單字練習,普通重要,女,56+,自由職業
文化交流,單字記不住,低,否,搭乘大眾交通工具,單字練習,普通重要,女,56+,上班族
工作,缺乏練習機會,低,否,餐廳點餐,基礎會話,普通重要,女,18-25,退休
工作,缺乏語言環境,低,是,餐廳點餐,文法解析,非常重要,男,56+,自由職業
文化交流,聽力不佳,中,否,朋友聚會,基礎會話,非常重要,男,26-35,上班族
家人溝通,缺乏語言環境,高,否,搭乘大眾交通工具,閱讀與寫作,重要,男,36-45,退休
興趣,缺乏練習機會,中,是,酒店住宿,單字練習,重要,男,56+,自由職業
旅遊,缺乏語言環境,高,是,醫院掛號,基礎會話,重要,男,36-45,自由職業
旅遊,發音困難,低,否,搭乘大眾交通工具,基礎會話,非常重要,女,56+,退休
興趣,缺乏練習機會,中,否,購物結帳,基礎會話,普通重要,女,56+,自由職業
家人溝通,缺乏練習機會,中,是,酒店住宿,基礎會話,非常重要,男,26-35,上班族
旅遊,文法複雜,低,否,醫院掛號,文法解析,重要,女,56+,自由職業
旅遊,缺乏練習機會,高,是,餐廳點餐,單字練習,重要,男,56+,退休
旅遊,發音困難,高,是,購物結帳,基礎會話,重要,女,36-45,上班族
文化交流,缺乏練習機會,中,是,朋友聚會,單字練習,普通重要,女,36-45,退休
旅遊,聽力不佳,高,否,酒店住宿,閱讀與寫作,普通重要,男,56+,退休
工作,發音困難,高,是,朋友聚會,基礎會話,非常重要,男,18-25,退休
文化交流,缺乏語言環境,高,是,酒店住宿,單字練習,非常重要,男,26-35,自由職業
旅遊,聽力不佳,高,否,醫院掛號,文法解析,重要,男,46-55,自由職業
興趣,單字記不住,高,是,搭乘大眾交通工具,閱讀與寫作,重要,男,26-35,退休
文化交流,缺乏練習機會,低,是,朋友聚會,單字練習,普通重要,男,56+,上班族
